image_path,label,ocr_text,caption,ocr_length,caption_length,similarity_score,error
E:\Project\Fake News Detection\images\real\1004.jpeg,real,,a pool with a patio and a house in the background,0,49,,
E:\Project\Fake News Detection\images\real\1005.jpg,real,,a cup of tea with cinnamon sticks and a bowl of cinnamon,0,56,,
E:\Project\Fake News Detection\images\real\1011.jpg,real,,a living room with red couches and a red rug,0,44,,
E:\Project\Fake News Detection\images\real\1018.jpg,real,,a woman sitting at a table with her head in her hands,0,53,,
E:\Project\Fake News Detection\images\real\1021.jpg,real,,a cell tower with several antennas on top,0,41,,
E:\Project\Fake News Detection\images\real\1023.jpg,real,IHE,three men in white shirts posing for the camera,3,47,0.092839636,
E:\Project\Fake News Detection\images\real\1028.jpg,real,,two girls using their cell phones,0,33,,
E:\Project\Fake News Detection\images\real\1048.png,real,,a bowl of white rice with a small sp of parise,0,46,,
E:\Project\Fake News Detection\images\real\1051.png,real,,a man with a towel on his head,0,30,,
E:\Project\Fake News Detection\images\real\1059.png,real,,a man drinking water from a bottle in the sun,0,45,,
E:\Project\Fake News Detection\images\real\1060.png,real,OpenAl deepseel<,a laptop with the open logo on it,16,33,0.194721848,
E:\Project\Fake News Detection\images\real\1061.png,real,,a woman in a red sari sari sari sari sari sari sari sari sari sari sari sar,0,75,,
E:\Project\Fake News Detection\images\real\1086.jpg,real,,a woman in a purple dress posing for a picture,0,46,,
E:\Project\Fake News Detection\images\real\1091.jpg,real,,a group of men standing in front of a whiteboard,0,48,,
E:\Project\Fake News Detection\images\real\1099.jpg,real,জণ্য ৩ ঢূ,a classroom with a logo of the school,9,37,0.070526376,
E:\Project\Fake News Detection\images\real\1119.jpg,real,,"a woman wades through a flooded street in dhaka, bangladesh, on sunday",0,70,,
E:\Project\Fake News Detection\images\real\1126.jpg,real,,a man in a suit sitting on a boat,0,33,,
E:\Project\Fake News Detection\images\real\1128.jpg,real,,whatsawhate whatsawhate whatsawhate whatsawhate whatsawhate whatsawhate whatsawhate whatsawhate,0,95,,
E:\Project\Fake News Detection\images\real\1129.jpg,real,,ran kun and ran kun are all smiles for the camera,0,49,,
E:\Project\Fake News Detection\images\real\1132.jpg,real,,a man eating a hamburger,0,24,,
E:\Project\Fake News Detection\images\real\1133.jpg,real,ঢাকা,the logo of bangladesh ' s national bank,4,40,0.185711861,
E:\Project\Fake News Detection\images\real\1135.jpg,real,,a man in a turbal singing into a microphone,0,43,,
E:\Project\Fake News Detection\images\real\1136.jpg,real,,a group of people sitting on a couch,0,36,,
E:\Project\Fake News Detection\images\real\115.jpg,real,কর্মরত প্রিন্ট ও ইলেকট নুূরুল করিম ভঁইয়া কার্যালয় গাজীপূর গাজীপরে,the panel discussion on the upcoming project,66,44,0.227106139,
E:\Project\Fake News Detection\images\real\1157.jpg,real,"GO g 999, 999,",gold bars and coins,14,19,0.168415755,
E:\Project\Fake News Detection\images\real\1183.jpg,real,,a large ship in the ocean,0,25,,
E:\Project\Fake News Detection\images\real\1193.jpg,real,,the press conference for the upcoming election,0,46,,
E:\Project\Fake News Detection\images\real\1194.jpg,real,,a man wearing sunglasses sitting at a table,0,43,,
E:\Project\Fake News Detection\images\real\1199.jpg,real,,a man in a white suit and a white hat is speaking into a microphone,0,67,,
E:\Project\Fake News Detection\images\real\1201.jpg,real,,a man standing in front of a window,0,35,,
E:\Project\Fake News Detection\images\real\1203.jpg,real,মিচিত বিমকোভ,a group of people holding a banner in the street,12,48,0.035804786,
E:\Project\Fake News Detection\images\real\1204.jpg,real,,a woman in a red shirt and glasses,0,34,,
E:\Project\Fake News Detection\images\real\1209.jpg,real,VI EORLE,"the prime of pakistan, sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh",8,134,-0.069333024,
E:\Project\Fake News Detection\images\real\1214.jpg,real,,"the prime of pakistan, sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh",0,134,,
E:\Project\Fake News Detection\images\real\1221.jpg,real,আরব ৫ূ ; UNIVERSIT ARABIC,the logo of the islamic university,25,34,0.505284548,
E:\Project\Fake News Detection\images\real\1227.jpg,real,,a man in a suit and tie speaking into microphones,0,49,,
E:\Project\Fake News Detection\images\real\1237.jpg,real,: 8 8,the minister and his wife speak to media on the occasion,5,56,0.023819841,
E:\Project\Fake News Detection\images\real\1239.jpg,real,_ ?,a pile of money,3,15,0.119875655,
E:\Project\Fake News Detection\images\real\1259.jpg,real,,a man in black shirt speaking into microphones,0,46,,
E:\Project\Fake News Detection\images\real\1264.jpg,real,,anuran reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy,0,114,,
E:\Project\Fake News Detection\images\real\1285.jpg,real,,gold prices rise in india,0,25,,
E:\Project\Fake News Detection\images\real\129.jpg,real,,a man standing in front of a large pile of oil bottles,0,54,,
E:\Project\Fake News Detection\images\real\1293.jpg,real,,the monument in the park,0,24,,
E:\Project\Fake News Detection\images\real\13.jpg,real,,a man in a suit sitting at a desk,0,33,,
E:\Project\Fake News Detection\images\real\1301.jpg,real,,the imam of the imam mosque is surrounded by his followers,0,58,,
E:\Project\Fake News Detection\images\real\1311.jpg,real,২০,the germany team poses for a group photo,2,40,0.096125454,
E:\Project\Fake News Detection\images\real\1312.jpg,real,,a woman with long hair and a black dress,0,40,,
E:\Project\Fake News Detection\images\real\1321.jpg,real,,a person is putting a gold necklace on a mann,0,45,,
E:\Project\Fake News Detection\images\real\1327.jpg,real,ন পাঠ্যপুস্ত ;ুঁ ঢাকা বাংলা^ে,the logo of the bangladesh food bank,29,36,0.272735059,
E:\Project\Fake News Detection\images\real\134.jpg,real,,a woman in a red and gold outfit,0,32,,
E:\Project\Fake News Detection\images\real\1343.jpg,real,,a classroom in the school where students are studying,0,53,,
E:\Project\Fake News Detection\images\real\1347.jpg,real,,gold jewellery in india,0,23,,
E:\Project\Fake News Detection\images\real\1349.jpg,real,,a man in a blue shirt standing in front of a crowd,0,50,,
E:\Project\Fake News Detection\images\real\1350.jpg,real,,people are gathered outside a house in the city of ahmedabad,0,60,,
E:\Project\Fake News Detection\images\real\1352.jpg,real,,a man sitting at a desk in an office,0,36,,
